token	corpus size	all contexts size	frequency	co-frequency	specificity
全体	124862	2491	6	2	2.26
缕	124862	2491	6	2	2.26
寒冬	124862	2491	6	2	2.26
柴燚楠	124862	2491	19	3	2.25
能	124862	2491	205	10	2.25
时代	124862	2491	114	7	2.22
记得	124862	2491	20	3	2.19
写	124862	2491	88	6	2.19
通过	124862	2491	40	4	2.15
各种	124862	2491	21	3	2.13
春天	124862	2491	7	2	2.12
同心	124862	2491	7	2	2.12
周	124862	2491	7	2	2.12
明	124862	2491	7	2	2.12
现象	124862	2491	7	2	2.12
艰	124862	2491	8	2	2.01
牵	124862	2491	8	2	2.01
楼	124862	2491	8	2	2.01
出现	124862	2491	24	3	1.98
作为	124862	2491	46	4	1.96
醉	124862	2491	25	3	1.93
许多	124862	2491	25	3	1.93
投身	124862	2491	9	2	1.91
形成	124862	2491	9	2	1.91
夜	124862	2491	27	3	1.84
曲靖	124862	2491	10	2	1.82
魂	124862	2491	10	2	1.82
何处	124862	2491	10	2	1.82
具有	124862	2491	10	2	1.82
字	124862	2491	28	3	1.80
仅	124862	2491	52	4	1.79
造	124862	2491	11	2	1.74
懈	124862	2491	1	1	1.70
婚礼	124862	2491	1	1	1.70
罂粟	124862	2491	1	1	1.70
转盘	124862	2491	1	1	1.70
襄	124862	2491	1	1	1.70
有志	124862	2491	1	1	1.70
大凡	124862	2491	1	1	1.70
也罢	124862	2491	1	1	1.70
抑或	124862	2491	1	1	1.70
奢望夜夜	124862	2491	1	1	1.70
酸楚	124862	2491	1	1	1.70
晨光	124862	2491	1	1	1.70
大理	124862	2491	1	1	1.70
响教	124862	2491	1	1	1.70
忘忧若南柯	124862	2491	1	1	1.70
大大	124862	2491	1	1	1.70
萦萦绕	124862	2491	1	1	1.70
・	124862	2491	1	1	1.70
青衫	124862	2491	1	1	1.70
天阙	124862	2491	1	1	1.70
冷月	124862	2491	1	1	1.70
大梦	124862	2491	1	1	1.70
长安街	124862	2491	1	1	1.70
但愿	124862	2491	1	1	1.70
寓义	124862	2491	1	1	1.70
雨帘	124862	2491	1	1	1.70
千百	124862	2491	1	1	1.70
恶靥	124862	2491	1	1	1.70
强行	124862	2491	1	1	1.70
知世沧桑	124862	2491	1	1	1.70
戚	124862	2491	1	1	1.70
细声	124862	2491	1	1	1.70
地久天长	124862	2491	1	1	1.70
独影	124862	2491	1	1	1.70
拘束	124862	2491	1	1	1.70
毫无疑问	124862	2491	1	1	1.70
文艺复兴	124862	2491	1	1	1.70
圣徒	124862	2491	1	1	1.70
推移	124862	2491	1	1	1.70
变体	124862	2491	1	1	1.70
狂想	124862	2491	1	1	1.70
遭到	124862	2491	1	1	1.70
比作	124862	2491	1	1	1.70
从古至今	124862	2491	1	1	1.70
日常规	124862	2491	1	1	1.70
现实主义者	124862	2491	1	1	1.70
相反	124862	2491	1	1	1.70
私密	124862	2491	1	1	1.70
情车	124862	2491	1	1	1.70
情车车	124862	2491	1	1	1.70
车车	124862	2491	1	1	1.70
affordable	124862	2491	1	1	1.70
牵著	124862	2491	1	1	1.70
昨晚	124862	2491	1	1	1.70
苏醒	124862	2491	1	1	1.70
日有所思	124862	2491	1	1	1.70
甲骨	124862	2491	1	1	1.70
篆	124862	2491	1	1	1.70
人大脑	124862	2491	1	1	1.70
扑朔迷离	124862	2491	1	1	1.70
华胥	124862	2491	1	1	1.70
蕉鹿梦	124862	2491	1	1	1.70
南柯梦	124862	2491	1	1	1.70
黄粱美梦	124862	2491	1	1	1.70
粱	124862	2491	1	1	1.70
草桥	124862	2491	1	1	1.70
因情成梦	124862	2491	1	1	1.70
自在	124862	2491	1	1	1.70
楷	124862	2491	1	1	1.70
赠昙	124862	2491	1	1	1.70
王安石	124862	2491	1	1	1.70
青门道	124862	2491	1	1	1.70
习武	124862	2491	1	1	1.70
练剑	124862	2491	1	1	1.70
吹角连营	124862	2491	1	1	1.70
倏忽	124862	2491	1	1	1.70
复兴路	124862	2491	1	1	1.70
0有用	124862	2491	1	1	1.70
